Tweet,Cooking/Baking Event,Edible or not,Output Quality,Tweet_id
"Finally ate one of the apple pies from the Pi Party 2 days after everyone else, and realized it was super tasteless. OOPS. #bakingfail",yes,yes,partial,445377447588950017
"@stephcookie I made a similar cheesecake on the weekend, didn't think to add gelatine &amp; it was too soft to hold shape. Sulking! #bakingfail",yes,yes,partial,445337625193226240
Nothing is worse than subpar banana muffins. #bakingfail,yes,yes,partial,444297037518237696
"Let's put it this way, I even have frosting stuck to my hair.  #bakingfail",yes,yes,CD,504398138661040128
"Tried to make chelsea buns last night, what I came out with was quite tasty but not chelsea buns. #bakingfail",yes,yes,alt,503829495783370752
Yeah so small they burnt and terrible looking. I wouldn't even give them to my enemy #bakingFail good thing I have #doughnuts in reserve,yes,yes,perfect,503489204840833025
It's been so long since I've made cupcakes I forgot how to load my frosting gun. :x #BakingFail It's all good now. Cupcakes are frosted...,yes,yes,perfect,503362109028458496
I have created ginger nuts that could break the strongest of teeth #bakingfail #tastybuttough,yes,yes,partial,438088732848451585
"Made brownies as a snack for #GBBO and its bread week. #bakingfail, now craving a good roll!",yes,yes,perfect,502172212695404544
Well I just made cupcakes that tasted exactly like cornbread. #BakingFail,yes,yes,alt,437982550254813185
Valuable lesson learnt tonight. Banana pancakes are not easy to flip #bakingfail,yes,yes,partial,499270268972728322
Oops forgot to order butter...hope the cake still tastes nice without the full recommended amount!  #bakingfail,yes,yes,partial,435026196339097601
"when the box says you can make 12 cupcakes, but there's enough batter to barely make 10 :/// #rude #WhyDoYouHateMe #bakingfail",yes,yes,partial,434762281159639040
I've made caramel sauce like ten billion times but I can't seem to get soft caramel candies down. #frustration #bakingfail #sticktocupcakes,yes,yes,partial,496848825634811905
"When you mix up baking powder and baking soda, it makes banana bars instead of banana bread #bakingfail",yes,yes,alt,495739984729485312
Dancing around to music has resulted in the choc chip cookies being a wee bit over done! Didn't hear the timer!Lol #bakingfail,yes,yes,partial,434690406618791936
Baking fail today: mushy cookies! Back to the drawing board! #bakingfail,yes,yes,partial,495698740146364416
Over-cooked the flapjacks :( #bakingfail,yes,yes,partial,434652037335515138
"So I made Calvin heart-shaped bacon/cinnamon rolls this morning, but the cinnamon rolls ended up looking like boobs...  #bakingfail ",yes,yes,partial,434485543917731840
"""I'm not going to tell you that it's your best cookie, but it's a good cookie! We'll, it's a cookie."" - @DDirecto #bakingfail",yes,yes,partial,494350885644820480
ya my latest batch was not instagram worth :P #bakingfail :(,yes,yes,partial,493980585170182144
Pretty sure that buttercream icing isn't supposed to resemble lumpy porridge #bakingfail,yes,yes,partial,434101467155558400
Have you ever tried making macarons from scratch? Hardest thing ever! #bakingfail #frenchmacarons,yes,yes,CD,492562835507916800
My pear and cinnamon scones need more pear and more cinnamon #bakingfail,yes,yes,partial,491540524822564864
All set to make the icing to frost my cookies. Guess what I have none of in my pantry? Powdered sugar. #BakingFail,yes,yes,partial,433046002505760768
