Tweet,Image_Url,Image_Name,Qn1,Qn2,Qn3,Tweet_id
Makeshift cooling racks! #BakingFail :D http://t.co/vKNmCsoFRu,http://pbs.twimg.com/media/Bd96sQPIIAAnHIh.jpg,Bd96sQPIIAAnHIh.jpg,yes,yes,CD,423191791064870912
"Dead car, flat tire, broken garage door, and now this. Not my luckiest week. #badluck #bakingfail http://t.co/ku2bY5qSHN",http://pbs.twimg.com/media/BdlBGK2CMAABaga.jpg,BdlBGK2CMAABaga.jpg,yes,yes,perfect,421439614599974912
Here's what happens when you don't grease your pans enough...lemon cake hoagies?... #bakingfail #treatyoself http://t.co/MeYZcSJpuM,http://pbs.twimg.com/media/Bcx-bu9IMAAGLNi.jpg,Bcx-bu9IMAAGLNi.jpg,yes,yes,partial,417847880528191489
"""The stomach doesn't know what shape they were supposed to be.""-- My Dad #BakingFail #ChristmasCountdown http://t.co/ZZ610gCf2j",http://pbs.twimg.com/media/BcTREWcCUAAwCV5.jpg,BcTREWcCUAAwCV5.jpg,yes,yes,partial,415686938411008001
getting better but still shit #bakingfail http://t.co/48GqEsAK,http://pbs.twimg.com/media/A5B_F1HCYAAM2gQ.jpg,A5B_F1HCYAAM2gQ.jpg,yes,yes,perfect,256844916888592384
My mom and I are obviously really good at making reindeer cookies  #cantyouseeit #bakingfail http://t.co/qLgUg3Zk8L,http://pbs.twimg.com/media/BcG_znpCIAA98RA.jpg,BcG_znpCIAA98RA.jpg,yes,yes,partial,414823534376927232
World's worst cake. #bakingfail http://t.co/ZMqqsSui,http://pbs.twimg.com/media/A5B9IRvCMAASCiV.jpg,A5B9IRvCMAASCiV.jpg,yes,yes,partial,256842759909027840
Putting together the gingerbread house didn't quite go as planned.... #BakingFail  #stilltasty http://t.co/YQjhdkxza8,http://pbs.twimg.com/media/BcGMzS7IUAASXE3.jpg,BcGMzS7IUAASXE3.jpg,yes,yes,partial,414767453764595712
Cake pops....looks easy but not worth the effort! #bakingfail #pintrestchallenge http://t.co/KuV0Vr4i,http://pbs.twimg.com/media/A4fAMebCAAEgyv3.jpg,A4fAMebCAAEgyv3.jpg,yes,yes,partial,254383224518737920
#bakingfail I was making gingerdoodles and forgot to put the baking soda in. http://t.co/HFpQnNyQHi,http://pbs.twimg.com/media/Bb931kNCUAEWVJb.jpg,Bb931kNCUAEWVJb.jpg,yes,yes,alt,414181453056864256
I should #definitely be a chef. #lolnot #bakingfail http://t.co/BwriZOaO,http://pbs.twimg.com/media/A4P2Gk3CcAA5-4g.jpg,A4P2Gk3CcAA5-4g.jpg,yes,yes,partial,253316596892856320
This was not supposed to happen. #bakingfail http://t.co/Mm7Yh755oI,http://pbs.twimg.com/media/Bb9bKJnCQAEzIh2.jpg,Bb9bKJnCQAEzIh2.jpg,yes,yes,partial,414149920803655680
#cookies #bakingfail http://t.co/4UtTsS6k,http://pbs.twimg.com/media/A4POQf_CIAEfUfC.jpg,A4POQf_CIAEfUfC.jpg,yes,yes,partial,253272786917793792
Tomorrow my colleagues will be treated to frosted turd and balls #xmasbuffet #bakingfail mm mm mm  http://t.co/QGiuWZ3LW2,http://pbs.twimg.com/media/Bbj19frIEAAwdth.jpg,Bbj19frIEAAwdth.jpg,yes,yes,CD,412349802954108929
@ShaneMoore92 @aprilroseb bit cracked but they taste the same #bakingfail http://t.co/4a598PA4,http://pbs.twimg.com/media/A4On2MoCMAA7aKG.jpg,A4On2MoCMAA7aKG.jpg,yes,yes,partial,253230553602600960
Where the heck am I going to get a giant cupcake in the morning for cake smash photos!? #bakingfail #yeg http://t.co/yWy0mB2nWU,http://pbs.twimg.com/media/BbgGxdbCIAIfchu.jpg,BbgGxdbCIAIfchu.jpg,yes,yes,CD,412086812945838080
#bakingfail http://t.co/2ReMBaf9,http://pbs.twimg.com/media/A3mfIvSCEAMxhEX.jpg,A3mfIvSCEAMxhEX.jpg,yes,yes,CD,250406226771447808
The headless gingerbread man of the apocalypse.  #offhishead #bakingfail http://t.co/UymOAXIcax,http://pbs.twimg.com/media/BbeBg26IMAAr31R.jpg,BbeBg26IMAAr31R.jpg,yes,yes,partial,411940292544442369
Gluten free baking fail? Hopefully my 1/2 inch thick cake tastes good #bakingfail http://t.co/hJX38Ziu,http://pbs.twimg.com/media/A3SLrYLCYAEvbPV.jpg,A3SLrYLCYAEvbPV.jpg,yes,yes,partial,248977456747405312
"Christmas cupcakes turned out more like biscuits, I'm sure @gazzzwood will still eat them though! #bakingfail  http://t.co/78bNKA72jV",http://pbs.twimg.com/media/BbNee0vIIAAsxju.jpg,BbNee0vIIAAsxju.jpg,yes,yes,alt,410775874901114880
Seriously who forgets about the creme pie filling and burns it?! Hahaha #bakingfail #goodthingthisisatestrun http://t.co/hXJweKkV,http://pbs.twimg.com/media/A23vfW7CQAAigu-.jpg,A23vfW7CQAAigu-.jpg,yes,yes,partial,247116876575031296
This is what happens to confetti cookie dough when you forget to add flour. #bakingfail http://t.co/DwKK3OW1,http://pbs.twimg.com/media/A23BSICCQAEfyED.jpg,A23BSICCQAEfyED.jpg,yes,yes,partial,247066071679516672
Tonight's loaf rather disappointingly deflated as I slashed it before sticking it in the oven. #bakingfail http://t.co/yoCFoUU0Cc,http://pbs.twimg.com/media/Ba_SS84CAAAIu1W.jpg,Ba_SS84CAAAIu1W.jpg,yes,yes,alt,409777314239488000
Baked heart shaped scones. They look nothing like scones and the taste is also debatable.. #bakingfail http://t.co/W8FNMCU2,http://pbs.twimg.com/media/A2sDu1FCIAAlBk3.jpg,A2sDu1FCIAAlBk3.jpg,yes,yes,alt,246294707670491136
Sometimes I wonder about @JoseOcampo58 #BakingFail #NoApplePie  http://t.co/WemMmBveEQ,http://pbs.twimg.com/media/BanaJHYCYAAGrji.jpg,BanaJHYCYAAGrji.jpg,yes,yes,partial,408097091571814400
Carrot cake went wrong :(  #bakingfail #blamingtherecipe http://t.co/HfZYwmz0jC,http://pbs.twimg.com/media/BabGl4FCEAAumEo.jpg,BabGl4FCEAAumEo.jpg,yes,yes,partial,407231170498142208
@arwallace619 they started out with such potential #bakingfail http://t.co/mBmLX5t0Tg,http://pbs.twimg.com/media/BZ3ndMwCUAAboOE.jpg,BZ3ndMwCUAAboOE.jpg,yes,yes,CD,404734030576238592
That moment when you realise you've used plain flour rather than self raising... #bakingfail #eatthenanyway http://t.co/10TwbjDPTs,http://pbs.twimg.com/media/BZ3KpVhIgAACD7C.jpg,BZ3KpVhIgAACD7C.jpg,yes,yes,partial,404702353162797056
"Well, I've learned my lesson about messing around with the proportions in a bread machine recipe. #yegfood #bakingfail http://t.co/doSSt0Lt",http://pbs.twimg.com/media/A1xAegbCYAAl2dn.jpg,A1xAegbCYAAl2dn.jpg,yes,yes,partial,242139372806365185
One perfect cake and another er.. Not so perfect! #bakingfail #marblecake http://t.co/miAlnTOn36,http://pbs.twimg.com/media/BZ1_et0IAAEEKtI.jpg,BZ1_et0IAAEEKtI.jpg,yes,yes,partial,404619707334275072
Accidntally pushed 'puree' instead of 'chop'. Now wat to do with cupful of powderd nuts? #bakingfail http://t.co/LSFIovT,http://pbs.twimg.com/media/A1iYPO0CMAAj7qE.jpg,A1iYPO0CMAAj7qE.jpg,yes,yes,alt,241109967501930496
Made some cookies last night that ended up as #biscuits... :S #BakingFail #TasteGoodThough http://t.co/BdJ6cRqJF1,http://pbs.twimg.com/media/BZWV2LCCAAAfyd7.jpg,BZWV2LCCAAAfyd7.jpg,yes,yes,CD,402392499617923072
Have had to build a biscuit dam around my springform tin as the CHEESECAKE LEAKED OUT THE BOTTOM #bakingfail http://t.co/QsQFTAFJiC,http://pbs.twimg.com/media/BZNCG9PIIAAQhiu.jpg,BZNCG9PIIAAQhiu.jpg,yes,yes,partial,401737479298236418
Halfway through baking I can tell the parchment collars were a #BakingFail. http://t.co/HONSo4oW1Q,http://pbs.twimg.com/media/BY_BqmiIgAARCh5.jpg,BY_BqmiIgAARCh5.jpg,yes,yes,CD,400751829640044544
"The squirrel ate my homework. No, really, he did. That'll teach me to cool my baking on the porch. #bakingfail http://t.co/2kW36zTdxW",http://pbs.twimg.com/media/BY-zZC2CUAA7W8L.jpg,BY-zZC2CUAA7W8L.jpg,yes,yes,partial,400736134864449536
Yeaaah. This batch is staying home. #bakingfail http://t.co/UOApZC39,http://pbs.twimg.com/media/A0nIN4oCcAAOqvE.jpg,A0nIN4oCcAAOqvE.jpg,yes,yes,CD,236940596273639424
Made awesome s'mores cupcakes. Was going to bring them to work. Can't find my cupcake carrier. #BakingFail http://t.co/lo1Oiy2n4N,http://pbs.twimg.com/media/BYfQDqMCEAAjT-d.jpg,BYfQDqMCEAAjT-d.jpg,yes,yes,perfect,398515853576003584
Anyone want to see a macaron that looks a bit like a vajay? #bakingfail http://t.co/mZmfgSeb,http://pbs.twimg.com/media/A0VGPZxCQAAxVOO.jpg,A0VGPZxCQAAxVOO.jpg,yes,yes,partial,235671785926967297
They look so promising... They taste like egg #bakingfail http://t.co/XU3EkeEl,http://pbs.twimg.com/media/A0SxyqzCEAE6eLJ.jpg,A0SxyqzCEAE6eLJ.jpg,yes,yes,partial,235508564561629184
My Massive fail at making brownies :( #bakingfail http://t.co/aYrph2PaQ6,http://pbs.twimg.com/media/BXCgxqQIYAAEBER.jpg,BXCgxqQIYAAEBER.jpg,yes,yes,CD,391989942764969984
