Tweet,Cooking/Baking Event,Edible or not,Output Quality,Tweet_id
Burned chocolate? More like burned dreams #cookingfail,no,NA,NA,412353274826997761
Watching @nickcarter cook reminds me of myself in the kitchen #cookingfail #CarterCartel @HeartNickCarter,no,NA,NA,512426838505684992
"Right, if I wanna cook the appliances need to be plugged in &gt;____&gt; #cookingfail",no,NA,NA,508094184561991680
"Welp, ordering a pizza. #cookingfail",no,NA,NA,500042177687613440
"Step #1 of making Rotel dip, actually having Rotel tomatoes....#CookingFail #VowellsRun",no,NA,NA,498578132749000705
You know ur tired when you try to put the scissors in the freezer #cookingfail,no,NA,NA,497449666360115202
"Not only am I not Julia, I’m not even Julie. #cookingfail",no,NA,NA,475405586025414656
Damn it no wonder this water was taking so long to boil! I turned the wrong burner down #cookingfail,no,NA,NA,473962309748944898
@the_spicery Thanks. We’ve still got the last one to do! #cookingfail,no,NA,NA,494829447145463811
"Not only does @Fabletics have great workout clothes, but their shipping bag doubles for covering up a burn in the shower #cookingfail",no,NA,NA,466665606750941185
@hmward #cookingfail Sounds like something I would do. #UnDomestic,no,NA,NA,485943288449343488
Curry so hot i can't breathe is not really what I was aiming for #scotchbonnet #cookingfail,no,NA,NA,430442655181721600
April Foolsday is just around the corner! So is our next disastrous dish. Stay tuned for more culinary disasters! #cookingfail,no,NA,NA,449734524419973120
"We tried to start a BBQ. We failed.  So cooking food in the grill, in the kitchen.  #CookingFail #Fail",no,NA,NA,456133292535083009
"Taste of home cooking school! Don't worry, I won't be cooking! #tasteofhome #cookingschool #icantcook #cookingfail",no,NA,NA,459477382068322304
Even the smartest techgirls need a little help when it comes to boiling eggs.. #cookingfail,no,NA,NA,457155919059492868
"@AnneWheaton Oh my god, I'm secretly @AnneWheaton's husband! Score! #cookingfail",no,NA,NA,442664367935741954
When you have to sieve the couscous I think it's safe to say you should stay out of the kitchen. #cookingfail #needjamieoliver,no,NA,NA,452526809385795585
Homemade burgers and I... Never a good relationship... Why do they always break up while cooking? #cookingfail,no,NA,NA,432235449135165440
When minced...garlic and ginger look exactly the same. #cookingfail #stillthinkitwillbedelicious w @elisestoll,no,NA,NA,462393943603572736
@ScenesOfMadness #cookingfail,no,NA,NA,433743579148976128
Ever had a cooking fail? We want to know YOUR stories #cookingfail #accident,no,NA,NA,407478050641965057
Do not bake with avocados instead of butter #healthyoption #yuk #cookingfail,no,NA,NA,389036034002255872
@Diep_Thinker it wasnt your intention #cookingfail,no,NA,NA,1115039712757129217
What have they done? They’ve massacred the whole tamale #massacre #tamale #cookingfail #MKR,no,NA,NA,1112643418344194048
@alonzolerone You can’t even cook fried chicken in the microwave its kinda sad that you think you cook fried chicken in the microwave? It’s like trying to cook turkey in the microwave. #CookingFail,no,NA,NA,1108460476583694336
Inquiring minds want to know ... What’s your biggest #cookingfail?,no,NA,NA,1082817229446631424
@karianneholt Every day of my life only for a completely different reason. #cookingfail,no,NA,NA,1055643578330951680
My wife asked me to find her the cookbook with the recipe to hard boil an egg. #cookingfail #sheisnochef,no,NA,NA,1021842010632859649
Mon crumble a l'air super bon mais ressemble un peu à du caca #cookingfail,no,NA,NA,506100067414331392
