Tweet,Image_Url,Image_Name,Cooking/Baking Event,Edible or not,Output Quality,Tweet_id
Should have had peanut butter on toast... #cookingfail http://t.co/hig7WGzB,http://pbs.twimg.com/media/Alt0R58CEAIqEo1.jpg,Alt0R58CEAIqEo1.jpg,yes,yes,partial,169857261911543808
Why you should not use purple heritage carrots to make udon soup. #cookingfail http://t.co/WdCYZVMy,http://pbs.twimg.com/media/AloqvYRCEAAHGOu.jpg,AloqvYRCEAAHGOu.jpg,yes,yes,CD,169494929427533825
Omelette in a carton. Er...no thanks #lazy #cookingfail http://t.co/6HfDXCwDD0,http://pbs.twimg.com/media/BW_LZgSCEAAkhLO.jpg,BW_LZgSCEAAkhLO.jpg,yes,yes,CD,391755331786637313
Nice try Paula deen. I don't think you're supposed to eat off the floor #cookingfail @agb5y http://t.co/Gn8PlqN0,http://pbs.twimg.com/media/Ak6wQAxCMAEM50D.jpg,Ak6wQAxCMAEM50D.jpg,yes,yes,partial,166264025380958209
This is what happens when you get distracted at breakfast #cookingfail http://t.co/ZAhtUqZc,http://pbs.twimg.com/media/Ajm_s3KCEAE1PaK.jpg,Ajm_s3KCEAE1PaK.jpg,yes,yes,partial,160370039185346562
Egg on a hole. #cookingfail #yummythough http://t.co/Ghf7MRkeDX,http://pbs.twimg.com/media/BWrqjUbCcAAgQUx.jpg,BWrqjUbCcAAgQUx.jpg,yes,yes,partial,390382210487832577
Never the same presentation too much filling #cookingfail but #tasty #goodeggs http://t.co/4IbPyHmepx,http://pbs.twimg.com/media/BWYmzXyCIAAff7o.jpg,BWYmzXyCIAAff7o.jpg,yes,yes,partial,389041082018697216
"If exams are any way as hard as making cheese on toast, I'm toast #cookingfail http://t.co/RAGCsno3",http://pbs.twimg.com/media/Aie23vPCAAEL5TS.jpg,Aie23vPCAAEL5TS.jpg,yes,yes,partial,155293780851949568
This is why I'm so glad @CibreoCleveland is around the corner. #garlicbreadburn #cookingfail http://t.co/uXhS3TUikK,http://pbs.twimg.com/media/BVhiJ5nIcAA3imE.jpg,BVhiJ5nIcAA3imE.jpg,yes,yes,partial,385165690581573633
Arrrgh why can i never keep lasagna sheets in one piece!? #cookingfail http://t.co/kaiSN1cwOu,http://pbs.twimg.com/media/BVWfaacIgAEE2Qx.jpg,BVWfaacIgAEE2Qx.jpg,yes,yes,partial,384388619525705728
Candy apples gone wrong #cookingfail http://t.co/CA7eO4r4ML,http://pbs.twimg.com/media/BUo3y9GCQAA49sP.jpg,BUo3y9GCQAA49sP.jpg,yes,yes,partial,381178467322056704
"so me and @aubrey_ashby decided to make cookies, tasted more like corn bread then cookies.. thats a  #cookingfail http://t.co/vwFtfxvk",http://pbs.twimg.com/media/Ahz_yXGCAAAQ5xo.jpg,Ahz_yXGCAAAQ5xo.jpg,yes,yes,partial,152277728073220096
I think I've used too much water to boil the rice haha #cookingfail #fail #cooking  http://t.co/YksB2kwpOU,http://pbs.twimg.com/media/BUn90PGCMAArLsw.jpg,BUn90PGCMAArLsw.jpg,yes,yes,partial,381114717432844288
I cooked a sunny side up but it turned out to be overfried scrambled eggs! Dirtied the pan as well. :( #cookingfail http://t.co/NNl0WBr1,http://pbs.twimg.com/media/AhrnLjSCMAQwOrN.jpg,AhrnLjSCMAQwOrN.jpg,yes,yes,partial,151687723101597696
"Look what happened to my cookies, I guess I'm not going to be a chef #CookingFail http://t.co/9bIhX9V",http://pbs.twimg.com/media/AhYI2eNCAAA43vF.jpg,AhYI2eNCAAA43vF.jpg,yes,yes,CD,150317369472974850
Right... How the hell I'm I going to cook this?!?! #cookingfail #needagf http://t.co/MsAshMus,http://pbs.twimg.com/media/AfRipofCIAADfK4.jpg,AfRipofCIAADfK4.jpg,yes,yes,CD,140845955732873217
I can't even bake gingerbread men without burning them #cookingfail http://t.co/9I1pNS7X,http://pbs.twimg.com/media/AfG8doiCEAE5iTs.jpg,AfG8doiCEAE5iTs.jpg,yes,yes,partial,140100280703389697
Broken aioli attempt #cookingfail http://t.co/pCVurP0mmI,http://pbs.twimg.com/media/BUPQmBFCIAEZngV.jpg,BUPQmBFCIAEZngV.jpg,yes,yes,,379376145470214144
first attempt at making yogurt… became ricotta cheese! still tasty. it went bad at 170F when the milk separated? can anyone explain? #kitchenfail #cookingfail #homecooking #fromscratch https://t.co/u45D90MhdR,http://pbs.twimg.com/media/EDvmkY1UwAAV_nv.jpg,EDvmkY1UwAAV_nv.jpg,yes,yes,partial,1169782377775652865
Cooking pork sausages. Cut them and realized I took them off too early. So now I’m just trying to char the ends and realized I have land mines of dongs coming out of the frying pan #cookingfail https://t.co/maLNsk0gQT,http://pbs.twimg.com/media/EDqD_nEXoAELNxn.jpg,EDqD_nEXoAELNxn.jpg,yes,yes,partial,1169392188297502723
Burnt fish fingers #cookingfail #fishfingersarnie http://t.co/xKemCtiY3W,http://pbs.twimg.com/media/BTpOt-eCMAAXamq.jpg,BTpOt-eCMAAXamq.jpg,yes,yes,CD,376700070747312128
Depressed that these look a thousand times better than they taste  #cookingfail http://t.co/XowiWMwIhC,http://pbs.twimg.com/media/BSosL2DCIAAb3VN.jpg,BSosL2DCIAAb3VN.jpg,yes,yes,partial,372158501201518592
The truth about food blogging. Sometimes things don't go the way you expect them to #pancakes #cookingfail #vegan https://t.co/gAYFskYiRy,http://pbs.twimg.com/media/ECY5SufUIAEZq22.jpg,ECY5SufUIAEZq22.jpg,yes,yes,partial,1163680555814178816
No matter what I do this happens. #cookingfail #dinnerWasStillDelicious http://t.co/WndvnCvXD6 http://t.co/LrtayfNCEQ,http://pbs.twimg.com/media/BSeAt4kCEAAECe-.jpg,BSeAt4kCEAAECe-.jpg,yes,yes,partial,371407020043145216
#macaroon #fail #cookingfail #cantbake #itriedsohard #linkinpark http://t.co/Csg7FPtAOV,http://pbs.twimg.com/media/BSC86VdCEAEk4p4.jpg,BSC86VdCEAEk4p4.jpg,yes,yes,partial,369502879817535489
I have perfected over cooked rice recipe. #rice #cookingfail https://t.co/c7XHKx7ezi,http://pbs.twimg.com/media/ECN3ew-UYAEh7sv.jpg,ECN3ew-UYAEh7sv.jpg,yes,yes,alt,1162904503928049664
You learn something everyday. #immigrantlife #cookingfail  #nytcooking @MelissaClark https://t.co/16nLmgqtZJ,http://pbs.twimg.com/media/EB8JgeGU4AEGMS8.jpg,EB8JgeGU4AEGMS8.jpg,yes,yes,CD,1161657686733152257
