Tried to put muffins in the oven & dropped the entire pan (is it that hard?) Of course they all landed upside down :-( #sadface #bakingfail,yes,no,NA
"Finally ate one of the apple pies from the Pi Party 2 days after everyone else, and realized it was super tasteless. OOPS. #bakingfail",yes,yes,partial
"@stephcookie I made a similar cheesecake on the weekend, didn't think to add gelatine &amp; it was too soft to hold shape. Sulking! #bakingfail",yes,yes,partial
I have just bought a baking tray that is to big for the oven. #bakingfail,yes,no,NA
Good thing to do before mixing ingredients for Irish soda bread: check to make sure you have them all. #bakingfail #shamrockshenigans,yes,no,NA
In hindsight it would have made more sense to bring in a pie today :/ #bakingfail,yes,no,NA
Note to self  Always pre-butter the pan before making the cake. #BakingFail,yes,no,NA
Butter coma... Remind me again why I have gluten free friends? #bakingfail,no,NA,NA
Nothing is worse than subpar banana muffins. #bakingfail,yes,yes,partial
Jewish deli experts: Where can I buy hamantaschen in D.C.? #BakingFail,yes,no,NA
"was trying to bake a bundt...knocked a jar off the shelf, glass EVERYWHERE, including the batter. #bakingfail #noonewantsglassintheircake",yes,no,NA
I am not Mary Berry #bakingfail note to self: buy a cake next time #tootiredtocare,yes,no,NA
@SundayBakeClub tried a lemon drizzle cake for the first time. It was terrible so no pic this week. #bakingfail,yes,no,NA
Making salted caramel. Guess which ingredient I forgot? #bakingfail,yes,no,NA
@HEBrookes Oh boo! There is little more upsetting than a #bakingfail. What happened?,no,no,NA
My hands are probably permanently dyed red & there's batter all over the kitchen... #bakingfail #redvelvethatesme #confessionsofabakeaholic,yes,no,NA
Apparently my bottles of vanilla and sesame oil look a lot alike. This banana bread is certainly interesting...#bakingfail,yes,no,NA
"So, my lemon poppyseed angel food cake had the texture and density of play-doh. #bakingfail #oops",yes,no,NA
Fact: Flour can go bad. #notbettycrocker #bakingfail.,yes,no,NA
A little concerned that my #vegan strawberry muffins went into the oven looking like the dreaded McDonald's pink slime...#bakingfail,yes,no,NA
"Let's put it this way, I even have frosting stuck to my hair.  #bakingfail",yes,yes,CD
Banner baking day for me - broke 2 mixers in a 10 minute span. This cheesecake better be amazing. #bakingfail,yes,no,NA
Added extra lemon juice to cookie recipe. Cookies did not turn out. #bakingFAIL D:,yes,no,NA
Turns out it's easier to bake things when you have the oven turned on... #MyBad #OopsIDidItAgain #blonde #bakingfail #cookingfever,yes,no,NA
Just made a lemon cake... #bakingfail :\,yes,no,NA
"Greetings Downtown! Why yes, I am holding a smoking pan of 'toasted' coconut I may have forgotten about out my window. Carry on! #bakingfail",yes,no,NA
"Total #bakingfail, went to make an apple &amp; cinnamon soda bread but there's no bicarb soda in the house #epicfail",yes,no,NA
Started making banana muffins and someone used all the eggs. Improvised. These are gonna be bad. #Wasntme #firstworldproblems #bakingfail,yes,no,NA
Sometimes one should just stay out of the kitchen. #bakingfail,yes,no,NA
Baked @RuAnderson01's protein bars   banana bread crumble. Eaten a good 25% of the ingredients in the process. #bakingfail,yes,yes,CD
"Tried to make chelsea buns last night, what I came out with was quite tasty but not chelsea buns. #bakingfail",yes,yes,alt
I have just killed my yeast. That is never a good thing. #bakingfail,yes,no,NA
Joseph Merrick after-dinner mints :-( #BakingFail,no,NA,NA
Back to the sourdough drawing board - my starter got mold in it :-( #bakingfail,yes,no,NA
Yeah so small they burnt and terrible looking. I wouldn't even give them to my enemy #bakingFail good thing I have #doughnuts in reserve,yes,yes,perfect
"“@UberFacts: If you squeeze an egg on both ends, it will not break.” Yet still necessary ingredient for cookies @williamlgeorge #bakingfail",yes,no,NA
It's been so long since I've made cupcakes I forgot how to load my frosting gun. :x #BakingFail It's all good now. Cupcakes are frosted...,yes,yes,perfect
Note to self  when baking it's usually a good idea to turn the oven on if you want the cupcakes to actually cook... #bakingfail,yes,no,NA
"I've somehow managed to lose all (yes, ALL) of my cupcake recipes.  #ohthatsnotgood #bakingfail",yes,no,NA
I have created ginger nuts that could break the strongest of teeth #bakingfail #tastybuttough,yes,yes,partial
No baking along to the #GBBO this week as I'm feeling pretty hay-feverish. I ate a Double Decker instead. #bakingfail,yes,no,NA
"Made brownies as a snack for #GBBO and its bread week. #bakingfail, now craving a good roll!",yes,yes,perfect
