Watching @nickcarter cook reminds me of myself in the kitchen #cookingfail #CarterCartel @HeartNickCarter,no,yes,partial
"Silly moment of the day: asking a vegan friend if he has made a dish that's primarily eggs. Sorry about that, @JDashin! #cookingfail #whoops",yes,no,NA
I nearly started a fire in my kitchen. I'm crying because I was so excited for lasagna. #CookingFail,yes,no,NA
When cutting onions and peppers for fajitas don't touch your eyes #cookingfail,yes,no,NA
@SallyPresto yeh I'm gonna pop them in oven for 10mins to heat through with my jacket spud! Bit boring tho! #CookingFail,yes,no,NA
Checked slow cooker about 2 hours before the pork loin should've been done.  Dry as a bone.  So upset! #cookingfail,yes,yes,alt
"@TodaysDietitian Just had a huge #cookingfail trying to make the GF lasagna noodles from scratch, sent husband to store for boxed ones :)",yes,no,NA
lunch took an hour to prep & it's not edible! #cookingfail,yes,no,NA
I'm glad I only cook for myself when I decide the experiment with good #unilife #cookingfail #wastenotwantnot,yes,no,NA
@davidlebovitz #idiotcake #loser forgot to cover it with alfoil before baking #cookingfail,yes,no,NA
I have 336 recipes pinned on @Pinterest and I've only made two of them #cookingfail #Pinterest #takeout #learntocook,yes,no,NA
Why is it more difficult to hard boil eggs than to make coconut milk from scratch? #cookingfail,yes,no,NA
Who just put cumin in her overnight oats instead of cinnamon?!?! This girl! #CookingFail,yes,yes,alt
I always forget that making rice is a science... #cookingfail,yes,no,NA
Decided to cheat on my healthy eating diet and bake cookies...that I actually broiled for 10 min. Oy. #cookingfail #divineinterventionmaybe,yes,no,NA
At least my 2-year-old #oliviakayl eats my #cookingfail,yes,yes,partial
Lobster is not a good substitute when the recipe calls for crab...dang #cookingfail #notsotasty #bummer,yes,yes,partial
Note to self: be sure the black pepper has lid on it before dumping in the food you are making. #cookingfail,yes,no,NA
I'm never cooking ever again in my life. That'll be my wife's job. #CookingFail #Done #IQuit,yes,no,NA
"Dad: ""So, how does it taste?""
Mom: ""It kind of tastes like pickled chicken..."" 
Me: ""Yeah...it kind of does!"" 
#cookingfail",yes,NA,NA
OMG! Sorry @RealBenLang but I forgot to add spices to the chili! Hope it's not too late! #CookingFail,yes,no,NA
First #kitchenfail in a long time. Glad I only used 1/2 lb of my ground turkey in those meatballs. #foodfail #cookingfail #turkey #meatballs,yes,no,NA
